### QCDFakes_EGamma_2018D
 #id                        variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
  23                  PassIDRequirements          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  24                                nJet            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  25                             Jet1_Pt         50.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  26                            Jet1_Eta         -2.4000          2.4000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  27                            Jet1_Phi            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  28                             Jet2_Pt         50.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  29                            Jet2_Eta         -2.4000          2.4000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  30                            Jet2_Phi         -1.5700         -0.8700               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  31                         DR_Ele1Jet1            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  32                         DR_Ele1Jet2            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  33                         DR_Ele2Jet1            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  34                         DR_Ele2Jet2            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  35                         DR_Jet1Jet2            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  36                      PFMET_Type1_Pt            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  37                     PFMET_Type1_Phi            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  38                             Ele1_Pt         50.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  39                            Ele1_Eta            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  40                            Ele1_Phi            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  41                             Ele2_Pt         50.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  42                            Ele2_Eta            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  43                            Ele2_Phi            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  44                              M_e1j1            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  45                              M_e1j2            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  46                              M_e2j1            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  47                              M_e2j2            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  48                             Jet3_Pt            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  49                            Jet3_Eta         -2.4000          2.4000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  50                            Jet3_Phi            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  51                               Masym            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  52                              MejMin            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  53                              MejMax            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  54                               Meejj            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  55                        Pt_e1e2_skim         50.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  56                        sT_eejj_skim        200.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  57                         M_e1e2_skim         40.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  58                      skim_selection            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  59                             Pt_e1e2         70.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  60                       sT_eejj_bkgCR        300.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  61                        M_e1e2_bkgCR         50.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  62                        preselection            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  63                             sT_eejj        400.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  64                              M_e1e2        200.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  65                   trainingSelection            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00


### QCDFakes_DATA
 #id                        variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
   0                              NoCuts               -               -               -               -    900352487.0000        0.0000e+00          1.0000      0.0000e+00          1.0000      0.0000e+00
   1                            PassJSON               -               -               -               -    871854335.0000        29527.1796          0.9683     -1.0000e+00          0.9683     -1.0000e+00
   2                          nEle_ptCut               -               -               -               -    368837831.0000        19205.1511          0.4230      1.6743e-05          0.4097      9.0728e-06
   3                             Ele1_Pt               -               -               -               -    368837747.0000        19205.1490          1.0000      2.4366e-08          0.4097      9.0728e-06
   4                         PassTrigger               -               -               -               -     12900198.0000         3591.6845      3.4975e-02      9.5722e-06      1.4328e-02      3.9341e-06
   5                         Reweighting          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   6                         PassLHECuts          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   7                            PassJSON          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   8                             PassHLT          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   9  PassGlobalSuperTightHalo2016Filter          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  10                    PassGoodVertices          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  11                 PassHBHENoiseFilter          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  12              PassHBHENoiseIsoFilter          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  13         PassBadEESupercrystalFilter          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  14            PassEcalDeadCellTrigPrim          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  15                 PassBadPFMuonFilter          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  16            PassEcalBadCalibV2Filter          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  17                            PassNEle          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  18                           PassNMuon          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  19                     nEle_hltMatched            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  20                     nJet_hltMatched            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  21                        Ele1_Pt_skim         40.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  22                        Ele2_Pt_skim         40.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  23                  PassIDRequirements          0.0000          1.0000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  24                                nJet            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  25                             Jet1_Pt         50.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  26                            Jet1_Eta         -2.4000          2.4000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  27                            Jet1_Phi            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  28                             Jet2_Pt         50.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  29                            Jet2_Eta         -2.4000          2.4000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  30                            Jet2_Phi         -1.5700         -0.8700               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  31                         DR_Ele1Jet1            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  32                         DR_Ele1Jet2            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  33                         DR_Ele2Jet1            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  34                         DR_Ele2Jet2            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  35                         DR_Jet1Jet2            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  36                      PFMET_Type1_Pt            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  37                     PFMET_Type1_Phi            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  38                             Ele1_Pt         50.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  39                            Ele1_Eta            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  40                            Ele1_Phi            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  41                             Ele2_Pt         50.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  42                            Ele2_Eta            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  43                            Ele2_Phi            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  44                              M_e1j1            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  45                              M_e1j2            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  46                              M_e2j1            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  47                              M_e2j2            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  48                             Jet3_Pt            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  49                            Jet3_Eta         -2.4000          2.4000               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  50                            Jet3_Phi            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  51                               Masym            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  52                              MejMin            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  53                              MejMax            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  54                               Meejj            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  55                        Pt_e1e2_skim         50.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  56                        sT_eejj_skim        200.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  57                         M_e1e2_skim         40.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  58                      skim_selection            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  59                             Pt_e1e2         70.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  60                       sT_eejj_bkgCR        300.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  61                        M_e1e2_bkgCR         50.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  62                        preselection            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  63                             sT_eejj        400.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  64                              M_e1e2        200.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  65                   trainingSelection            -inf            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00


